Id,Name,App,AvgCpu,CurrentType,SuggestedType
i-0f156e28fb7baf0a1,nensolr-app-1-dxp-prod-gc,NEN,1.48,m3.xlarge,t2.micro
i-e7ee7dc2,eva-app-1-stage-gc,EVA,8.76,r4.xlarge,t2.small
i-0d61ee8a5a926e560,magicdraw-cameo-app-1-stage-gc,MagicDraw,14.92,m3.medium,t2.small
i-42638367,search-hadoop-1-dev-gc,Search,1.3,r3.xlarge,t2.micro
i-88f228ac,eva-esoc-1-dev-gc,EVA,7.68,r4.large,t2.small
i-07930030fc3db9551,bfmc-app-2-dev-gc,BFMC,0.06,m4.2xlarge,t2.micro
i-c31976e7,wp-dns-3-prod-gc,Support,3.88,t2.small,t2.micro
i-021516c6e490bac32,burpsuite-webapp-1-prod-gc,Security_Infrastructure.BurpSuite,12.81,m4.xlarge,t2.small
i-2c62a009,smocls-webapp-1-prod-gc,NEN,25.3,m3.medium,t2.small
i-ffc85eda,eva-app-3-prod-gc,EVA,1.62,r4.xlarge,t2.micro
i-06da14e80a400685e,lifesciences-fileshare-webapp-2-dev-gc,LifeSciences,1.62,c3.xlarge,t2.micro
i-cd43d2e8,eva-esoc-1-prod-gc,EVA,2.45,r4.large,t2.micro
i-7941d75c,eva-search-1-prod-gc,EVA,1.19,r4.xlarge,t2.micro
i-000df9bd245d8358a,nenportal-web-2-dxp-stage-gc,NEN,1.03,m3.medium,t2.micro
i-0c541872f85109a04,sccv-app-1-prod-gc,Security_Infrastructure.SecurityCenter,2.12,m4.large,t2.micro
i-0b6f0e56caadc751b,sast-webapp-1-prod-gc,Security_Infrastructure.Checkmarx,1.99,m4.2xlarge,t2.micro
i-0f61dc7d025ca0659,magicdraw-altair-sao-app-1-dev-gc,MagicDraw,18.68,m3.medium,t2.small
i-a3369a86,search-bastion-1-prod-gc,Search,2.36,t2.medium,t2.micro
i-62a72347,eva-esoc-1-stage-gc,EVA,3.48,r4.large,t2.micro
i-57930e73,bastion-app-2-prod-gc,Bastions,4.37,t2.small,t2.micro
i-2467fa06,ins-nen-dev-smo-01-gc,NEN,24.95,m3.medium,t2.small
i-d9ac5afd,magicdraw-teamwork-webapp-2-prod-gc,MagicDraw,4.86,m3.large,t2.micro
i-09962b277c979d771,nenportal-web-1-dxp-prod-gc,NEN,2.51,m3.large,t2.micro
i-55638370,search-bastion-1-dev-gc,Search,1.91,t2.medium,t2.micro
i-05255620,devopsgc-confluence-1-prod-gc,DevOps_Suite_GC,12.25,m3.large,t2.small
i-04255621,devopsgc-bamboo-1-prod-gc,DevOps_Suite_GC,2.49,m3.large,t2.micro
i-0b25562e,devopsgc-stash-1-prod-gc,DevOps_Suite_GC,2.69,m3.large,t2.micro
i-0a25562f,devopsgc-jira-1-prod-gc,DevOps_Suite_GC,2.16,m3.large,t2.micro
i-e7cc3bc3,lifesciences-fileshare-webapp-1-dev-gc,LifeSciences,2.74,c3.xlarge,t2.micro
i-10f32934,eva-app-3-dev-gc,EVA,2.04,r4.xlarge,t2.micro
i-52934a76,magicdraw-cameo-app-1-prod-gc,MagicDraw,1.68,m3.large,t2.micro
i-67ea8643,lifesciences-ExMC-web-1-dev-gc,LifeSciences,0.94,m3.2xlarge,t2.micro
i-0657c2c57dc2a08eb,nasatube-web-1-prod-gc,NASATube,3.08,m4.large,t2.micro
i-a9ad188c,search-admin-1-stage-gc,Search,1.36,m3.xlarge,t2.micro
i-0d2614f275315d42e,sec-http-proxy-1-prod-gc,Security_Infrastructure,0.68,t2.micro,t2.micro
